"","PARSE_neuro","Multiome_neuro","multi_to_parse_ratio"
"RPL27",0.130769284795367,1.55688760675772,11.9056061918057
"RPL7",0.190254346869295,2.25424270849767,11.8485740041795
"RPS8",0.246398727384597,2.91626439569409,11.8355497475528
"RPS28",0.190254346869295,2.23217048452977,11.732559708942
"RACK1",0.190254346869295,2.19812089452616,11.5535909202446
"RPS3A",0.246398727384597,2.82803170882588,11.4774606948829
"PERP",0.130769284795367,1.48885776392216,11.3853781968143
"RPL35A",0.190254346869295,2.1628709378976,11.3683128584888
"RPS19",0.246398727384597,2.75137332402896,11.1663455133615
"RPS24",0.246398727384597,2.73800550815054,11.1120927336482
"EEF1A1",0.350033023010111,3.7043676083803,10.5829089396325
"RPL23A",0.190254346869295,1.99389125509911,10.4801350818487
"EDF1",0.130769284795367,1.36405530272001,10.4310068289701
"CCT3",0.130769284795367,1.36405530272001,10.4310068289701
"MIF",0.130769284795367,1.36405530272001,10.4310068289701
"UQCRQ",0.130769284795367,1.3371106060408,10.2249592336088
"RPL7A",0.299557783254615,3.0430058463726,10.158326761906
"RPS3",0.246398727384597,2.47822572342062,10.0577862139378
"RPS18",0.299557783254615,2.97635391117904,9.9358256655586
"BEX1",0.190254346869295,1.75510276345558,9.22503371059024
"RPL28",0.299557783254615,2.73125398552874,9.11761983232215
"RPS7",0.246398727384597,2.2096000604237,8.96757902882671
"RPL38",0.190254346869295,1.69965137217054,8.9335744498821
"RPL6",0.299557783254615,2.5698684820998,8.57887401281605
"RPS12",0.299557783254615,2.51252990350017,8.38746326736098
"NNAT",0.190254346869295,1.57857323362257,8.29717301916391
"ACTB",0.299557783254615,2.46062200589127,8.21418151502283
"RPL23",0.246398727384597,2.021820063627,8.20548094987197
"KRT6A",0.190254346869295,1.53472126972336,8.066681760379
"HSPA1B",0.190254346869295,1.46511230830911,7.70080858817721
"RPLP2",0.299557783254615,2.28646361679354,7.63279655748459
"RPL21",0.299557783254615,2.26509877498351,7.56147528658349
"PSMA7",0.190254346869295,1.41585982747554,7.44193155517356
"KRT16",0.190254346869295,1.41585982747554,7.44193155517356
"HSPB1",0.299557783254615,2.19812089452616,7.33788610212083
"MT-ND3",0.570061849146168,4.17697721590917,7.32723514503803
"UBC",0.246398727384597,1.6804625603625,6.82009431704373
"RPL4",0.246398727384597,1.66089832232782,6.74069359025288
"YBX1",0.246398727384597,1.64094367410438,6.65970839834363
"RPL14",0.299557783254615,1.97962879096599,6.60850394023436
"RPL31",0.350033023010111,2.28646361679354,6.53213687420428
"RPS17",0.350033023010111,2.26509877498351,6.47110022792929
"RPS2",0.487764723585791,3.03803356400373,6.22848151393503
"RPL3",0.529759649671525,3.28031800006478,6.1920873024186
"HLA-A",0.350033023010111,2.12633287799854,6.07466364091344
"MARCKS",0.246398727384597,1.46511230830911,5.94610339047029
"B2M",0.529759649671525,3.11476738938928,5.8795859430226
