"","PARSE_ionocyte II","Multiome_ionocyte II","multi_to_parse_ratio"
"RPL37",0.292331530134579,1.69024125044222,5.78193275855019
"ATP6V0B",0.292331530134579,1.65707632451994,5.66848305332333
"OSMR",0.292331530134579,1.62277364491228,5.55114135025123
"GPC6",0.292331530134579,1.62277364491228,5.55114135025123
"ATP6V0C",0.292331530134579,1.58725236654505,5.42963109663313
"MT-ND1",0.702424578474692,3.73404601405579,5.31593871923479
"CYBA",0.292331530134579,1.55042270903134,5.30364517408566
"SRP14",0.292331530134579,1.55042270903134,5.30364517408566
"ZFP36L2",0.292331530134579,1.5121845893843,5.17284122136309
"NACA",0.292331530134579,1.5121845893843,5.17284122136309
"RPS5",0.292331530134579,1.47242598276259,5.03683602683822
"MAF",0.292331530134579,1.47242598276259,5.03683602683822
"IFI27",0.518254414932672,2.60675834643022,5.02988160123801
"MT-CO2",0.992412614057432,4.92885580178373,4.96653884882855
"CYP1B1",0.292331530134579,1.43102094363254,4.89519875934612
"NOVA1",0.292331530134579,1.43102094363254,4.89519875934612
"ENOX2",0.292331530134579,1.43102094363254,4.89519875934612
"MT-ATP8",0.292331530134579,1.43102094363254,4.89519875934612
"MYL6",0.292331530134579,1.3878271992683,4.74744273609281
"RPL35",0.292331530134579,1.3878271992683,4.74744273609281
"RPS27A",0.518254414932672,2.38899815837196,4.60970150863514
"CKB",0.292331530134579,1.3426831996494,4.59301533102253
"RPL23",0.518254414932672,2.32192091479883,4.48027232937413
"FTH1",0.702424578474692,2.86915743159845,4.08464840143948
"B2M",0.857893602566289,3.44164145115889,4.01173460305989
"CLIC4",0.518254414932672,2.06641072964654,3.98725157009032
"MT-ND2",0.857893602566289,3.3404580706523,3.89379062935043
"RPL6",0.518254414932672,1.97256649650113,3.80617403280085
"RPL23A",0.518254414932672,1.94766177240451,3.75811901700351
"HLA-B",0.702424578474692,2.63251467877096,3.74775422079825
"SNX29",0.518254414932672,1.92212092687885,3.70883657041023
"HLA-A",0.702424578474692,2.59362706081467,3.69239223725159
"SOX4",0.518254414932672,1.89591061036191,3.65826234323197
"RPL17",0.518254414932672,1.89591061036191,3.65826234323197
"GADD45B",0.702424578474692,2.55316579426179,3.63478994400504
"TPT1",0.702424578474692,2.53930653820739,3.61505934732733
"PLOD2",0.518254414932672,1.86899477993491,3.60632678870225
"RPL12",0.702424578474692,2.46697376994937,3.51208349700174
"DUSP1",0.518254414932672,1.78360681190727,3.44156607356443
"SAT1",0.518254414932672,1.69024125044222,3.26141215924192
"PTPRT",0.518254414932672,1.69024125044222,3.26141215924192
"MARCKS",0.518254414932672,1.69024125044222,3.26141215924192
"CALM2",0.702424578474692,2.21203113934286,3.14913687124426
"HLA-E",0.518254414932672,1.62277364491228,3.13122975541481
"ASCL1",0.518254414932672,1.58725236654505,3.06268952238691
"HNRNPA1",0.518254414932672,1.55042270903134,2.99162470083879
"RPL14",0.702424578474692,2.04376232107081,2.90958258537709
"UBC",0.702424578474692,2.02058905187126,2.87659218340416
"NUCKS1",0.518254414932672,1.47242598276259,2.84112578752248
"NCKAP5",0.518254414932672,1.47242598276259,2.84112578752248
"HMGB1",0.518254414932672,1.47242598276259,2.84112578752248
"HSPA8",0.518254414932672,1.43102094363254,2.7612325190099
"ATP5F1E",0.518254414932672,1.43102094363254,2.7612325190099
