"","PARSE_neuroendocrine II","Multiome_neuroendocrine II","multi_to_parse_ratio"
"HINT1",0.247591934894364,1.46810672281955,5.92954178190788
"RPL3",0.587559007888039,3.33538726514579,5.67668475909292
"MT-CYB",0.634475392292527,3.59199222664666,5.66135782456092
"UBB",0.328576762212056,1.85908345450476,5.65798823382692
"RPL24",0.403491559642235,2.26887968568124,5.6231156054243
"UBC",0.328576762212056,1.83054046408922,5.57111967311868
"MT-ND2",0.538332656535324,2.98932095720645,5.55292516795384
"RAC1",0.264322090878258,1.4470862849527,5.47470807356472
"ATP6V1G1",0.29696542063761,1.62203599555181,5.4620365969518
"SUMO2",0.312895995838892,1.69094029047303,5.40416084884539
"IGFBP2",0.312895995838892,1.65708150087761,5.29594984568236
"MT-CO3",0.821989860218762,4.33003507288217,5.2677475507177
"RPS3",0.657133166484876,3.45350082079026,5.25540483561902
"PSAP",0.264322090878258,1.3812362157349,5.22557993978293
"FTH1",0.486557039066502,2.51587940546011,5.17077999793616
"RPL31",0.431953630275885,2.2210577706494,5.14188934870354
"NDUFS5",0.264322090878258,1.31074232280951,4.95888299935256
"MARCKSL1",0.29696542063761,1.46810672281955,4.94369586757744
"BTG1",0.312895995838892,1.52864018294537,4.88545779835563
"GAS5",0.29696542063761,1.42561448343986,4.80060769492606
"PARK7",0.280776948216641,1.33479668827977,4.7539397260272
"TLE5",0.344015433503573,1.60404164593273,4.66270257004637
"CD24",0.359219371600972,1.62203599555181,4.51544689341977
"ATF4",0.29696542063761,1.31074232280951,4.41378770631018
"ZFAS1",0.312895995838892,1.33479668827977,4.26594365549839
"STMN1",0.473183153528895,1.96574527787556,4.15430106337359
"CIRBP",0.374195607612564,1.52864018294537,4.08513662866961
"HLA-A",0.499754421723022,2.01509262737951,4.03216567935908
"EIF1",0.550868280370261,2.18108222575825,3.95935344887212
"HSPB1",0.431953630275885,1.70744926226935,3.9528531365249
"SET",0.445886535742682,1.75540130067905,3.9368789141731
"NFKBIA",0.431953630275885,1.65708150087761,3.83624858024517
"CFAP298",0.587559007888039,2.20126974042815,3.74646582024254
"HLA-E",0.499754421723022,1.83054046408922,3.66287997568486
"PCP4",0.359219371600972,1.31074232280951,3.64886313610479
"HLA-C",0.657133166484876,2.3834672152929,3.62706881474648
"ACTB",0.831444076611932,3.00286062819988,3.61162068823233
"EIF4A1",0.388950861391838,1.40367150821926,3.60886591996815
"MARCKS",0.473183153528895,1.70744926226935,3.60843206174094
"B2M",0.895233248849888,3.21602558864431,3.59238845605428
"PTMS",0.417823852724397,1.4470862849527,3.46338840043971
"SERBP1",0.445886535742682,1.52864018294537,3.42831653438294
"JUND",0.431953630275885,1.46810672281955,3.39876000551698
"MYL6",0.563248705841406,1.90042617533603,3.37404445962657
"ACTG1",0.773329682081833,2.57260223539235,3.32665652825688
"RHOB",0.525637893819926,1.72369010840414,3.27923486618841
"CFL1",0.417823852724397,1.35828600650037,3.25085798152439
"SOX4",0.76330691685107,2.47112069565617,3.23738805597423
"MT-ND4",1.09466128913947,3.50905916853597,3.20561182107251
"KLHL35",0.525637893819926,1.63971226378932,3.11947118552121
"NUCKS1",0.563248705841406,1.72369010840414,3.06026465844998
"RAB11A",0.563248705841406,1.67415419103478,2.97231786539812
"HSPA8",0.563248705841406,1.67415419103478,2.97231786539812
"DUSP1",0.575477728893879,1.70744926226935,2.9670118868913
"TMEM59",0.445886535742682,1.31074232280951,2.93963198647903
"CALM2",0.821989860218762,2.41623702345952,2.9394973592697
"HLA-B",0.831444076611932,2.40814469488734,2.89633994952534
"HNRNPA1",0.722180036811957,2.07353787904615,2.87122015751048
"HMGN2",0.473183153528895,1.35828600650037,2.87052908872723
"TUBB4B",0.512779899699851,1.42561448343986,2.78016841977294
"IGFBPL1",0.499754421723022,1.31074232280951,2.6227728376878
"SKP1",0.732621411481366,1.91383578565536,2.6123121105423
"ITM2B",0.563248705841406,1.46810672281955,2.60649817317632
"CALM1",1.10186729666978,2.85843095659955,2.59416988346847
"BTG2",0.850088515421389,2.15001562660925,2.52916677217253
"YBX1",0.575477728893879,1.4470862849527,2.51458260206548
"CCNI",0.700964416585664,1.75540130067905,2.50426592155627
"EEF2",0.700964416585664,1.73967139923956,2.48182555073673
"MT-CO1",1.60902809248544,3.99240864598958,2.48125478022113
"CHGB",0.886365875051583,2.17083355676256,2.44913936542991
"NRG1",0.587559007888039,1.42561448343986,2.42633414567873
"PTGES3",0.69018539535167,1.65708150087761,2.40092229136966
"HMGB1",0.86839169206927,2.08482793004369,2.40079211844577
"HSP90AB1",1.05783114325156,2.50855736168408,2.37141568168743
"TUBA1A",1.17788453293875,2.67722182269066,2.27290684937611
"ENC1",0.645868449857492,1.4470862849527,2.2405279051361
"PRXL2A",1.00387800816783,2.24046182065659,2.23180685544217
"FOS",1.22975204770189,2.7137946525395,2.20678197496066
"PTMA",1.5042793149516,3.30602850750873,2.19774909795599
"BASP1",0.700964416585664,1.50886672829437,2.15255823632807
"SLC38A2",0.66827240147454,1.42561448343986,2.13328349381817
"JUN",1.47009190819799,3.11711370528387,2.12035294385421
"PABPC1",0.831444076611932,1.67415419103478,2.01354996460715
"EIF4A2",0.904022682944391,1.77088759922374,1.9588973071516
"EIF3A",0.773329682081833,1.48869438343842,1.92504492964863
"NHLH1",0.732621411481366,1.40367150821926,1.91595752761447
"HSPA5",1.02735809700752,1.96574527787556,1.91339834046313
"HNRNPK",0.895233248849888,1.69094029047303,1.88882650710906
"KLF6",0.938427664980847,1.73967139923956,1.85381512519142
"MT-ND5",1.36543427866511,2.4634621950476,1.80416021008053
"PSIP1",0.742954889465378,1.33479668827977,1.7966052948925
"C11orf58",0.732621411481366,1.31074232280951,1.78911276993554
"PEG10",1.41913162145543,2.47872098913021,1.74664629528028
"GNAS",1.31451072599801,2.25949650924608,1.7188878451567
"SARAF",0.783252987527458,1.33479668827977,1.70417056753707
"EGR1",1.01176612049071,1.69094029047303,1.67127585736209
"DNAJA1",1.1161253784202,1.80115877375656,1.61376025362489
"HSP90AA1",1.99517652862929,3.16016063902011,1.58390026830918
"KIF5B",0.831444076611932,1.31074232280951,1.57646480344257
"YWHAE",1.00387800816783,1.5480302173795,1.54205013436324
"ARHGAP36",1.16448612505132,1.75540130067905,1.50744715880723
"KTN1",1.10186729666978,1.65708150087761,1.50388481978355
"NCL",0.904022682944391,1.35828600650037,1.50249106811839
"NAP1L1",1.06530648897892,1.58571755719417,1.48850830591866
"MAP1B",1.35433992317078,1.99072331685997,1.4698845413929
"MTDH",0.912735535506798,1.33479668827977,1.46241341150219
"SON",1.12317890207101,1.63971226378932,1.45988520685875
"PDCD4",1.05029949558987,1.52864018294537,1.45543265455617
"HNRNPA3",0.921373129514143,1.33479668827977,1.44870372873109
"TSC22D1",1.43469422438522,2.07353787904615,1.44528209830542
"LSAMP",1.26085416858757,1.81595752550741,1.44025976258752
"EIF4G2",1.05029949558987,1.50886672829437,1.43660616293733
"PAPSS1",0.912735535506798,1.31074232280951,1.43605926560285
"HP1BP3",0.94684708701801,1.35828600650037,1.43453576097292
"SPATS2L",0.995927178479517,1.42561448343986,1.43144450141059
"ATP1B1",1.26696017405084,1.786137725118,1.40978206079454
"ATF3",1.67186975393369,2.28738596681214,1.3681603853591
"DDX5",1.53268040465432,2.09599193750378,1.36753359091617
"CCNL1",1.10186729666978,1.48869438343842,1.35106504017114
"CPE",1.32605328672747,1.786137725118,1.34695773012709
"YWHAQ",0.995927178479517,1.33479668827977,1.34025530894499
"DSP",1.03506385671248,1.3812362157349,1.33444541298343
"HSP90B1",1.65135820859379,2.20126974042815,1.33300560046426
"GTF2I",1.46511116586314,1.94012731837818,1.32421850545053
"SUPT3H",1.01176612049071,1.33479668827977,1.31927395200028
"SCARB2",1.32029866010881,1.73967139923956,1.31763475325817
"CD47",0.995927178479517,1.31074232280951,1.31610257369482
"CNR1",1.28505762786294,1.69094029047303,1.31584782955226
"DNAJB6",1.17120776849393,1.50886672829437,1.28829979520597
"WSB1",1.05783114325156,1.35828600650037,1.28402913372855
"TOP1",1.24230921363911,1.58571755719417,1.27642743029259
"ZNF644",1.10902174894164,1.40367150821926,1.26568438315913
"HNRNPC",1.51383625030697,1.91383578565536,1.26422906392107
"EPC1",1.21061560102532,1.52864018294537,1.26269658316868
"GKAP1",1.34312110078165,1.67415419103478,1.24646555702273
"RAB2A",1.15090575912292,1.3812362157349,1.20012972807392
