"","x"
"929","AL138778.1"
"930","AL136456.1"
"931","AL357793.1"
"932","AL357793.2"
"933","AL513348.1"
"934","AL353072.2"
"935","AL353709.1"
"936","CFHR2"
"937","CFHR5"
"938","AL136322.1"
"939","AL365258.1"
"940","AL450352.1"
"941","AL157402.1"
"942","AL157402.2"
"943","AC096631.1"
"944","AC105941.1"
"945","AC097065.2"
"946","AC104461.1"
"947","AL359834.1"
"948","AL358473.1"
"949","AL358473.2"
"950","AC103925.1"
"951","AC119427.1"
"952","AC096677.2"
"953","AC096677.1"
"954","AC092800.1"
"955","AL645504.1"
"956","AL513217.1"
"957","AL691482.3"
"958","AC104463.2"
"959","AC104463.1"
"960","AC098934.4"
"961","AC105940.2"
"962","AC105940.1"
"963","LINC01136"
"964","AC096645.1"
"965","AL592146.2"
"966","AL592146.1"
"967","AL592114.3"
"968","LINC00628"
"969","AL606489.1"
"970","AL512306.3"
"971","AL512306.2"
"972","AL161793.1"
"973","AC096675.1"
"974","AC093422.2"
"975","AC119673.1"
"976","AC119673.2"
"977","AL713965.1"
"978","AC244035.1"
"979","AC244035.4"
"980","AC244035.2"
"981","AC244034.2"
"982","AL591846.2"
"983","AL445493.3"
"984","AL445493.2"
"985","AL596218.1"
"986","AL391597.1"
"987","AL137789.1"
"988","AL137789.2"
"989","AL356275.1"
"990","AL590138.1"
"991","AL606753.2"
"992","LINC02769"
"993","LINC01774"
"994","AC092810.4"
"995","AC092810.3"
"996","LINC01696"
"997","AL023754.1"
"998","AL023754.2"
"999","AL022397.1"
"1000","AL034351.4"
"1001","AL034351.3"
"1002","AC092017.4"
"1003","KCNH1-IT1"
"1004","AL590101.1"
"1005","AC105275.1"
"1006","AC105275.2"
"1007","AL356310.1"
"1008","LINC01693"
"1009","AC096637.2"
"1010","AC096637.1"
"1011","AL606468.1"
"1012","AL360091.2"
"1013","AL360091.3"
"1014","AL360091.1"
"1015","AC092803.3"
"1016","AC092803.2"
"1017","AC092803.1"
"1018","AC092803.4"
"1019","AL590648.2"
"1020","FAM71A"
"1021","AC104333.4"
"1022","AL592402.1"
"1023","AC096639.1"
"1024","AC011700.1"
"1025","AL606537.1"
"1026","AL929236.1"
"1027","AC099563.2"
"1028","AL450990.1"
"1029","AL358452.1"
"1030","AC093581.1"
"1031","AC138024.1"
"1032","SPATA17-AS1"
"1033","AL355526.1"
"1034","AL355526.2"
"1035","TGFB2-OT1"
"1036","C1orf143"
"1037","AL360093.1"
"1038","AC096642.1"
"1039","AC096642.2"
"1040","AL356364.1"
"1041","EPRS"
"1042","AL451081.1"
"1043","AC096644.3"
"1044","MARC2"
"1045","MARC1"
"1046","RNU6ATAC35P"
"1047","AL445423.1"
"1048","LINC01352"
"1049","AL360013.2"
"1050","AL360013.3"
"1051","AL360013.4"
"1052","AL356108.1"
"1053","AL513314.1"
"1054","AL513314.2"
"1055","AL592148.3"
"1056","AL392172.2"
"1057","AL392172.1"
"1058","AL929091.1"
"1059","AL359979.2"
"1060","AL359979.1"
"1061","CCDC185"
"1062","AC138393.3"
"1063","AC092809.2"
"1064","AC092809.4"
"1065","AC096537.1"
"1066","AL596330.2"
"1067","AL596330.1"
"1068","AL391811.1"
"1069","AC092811.1"
"1070","AC099066.2"
"1071","AC099066.1"
"1072","AL591895.1"
"1073","AL117348.1"
"1074","AL512343.2"
"1075","H3F3A"
"1076","AL359704.3"
"1077","ITPKB-IT1"
"1078","AL359732.1"
"1079","AL353689.2"
"1080","AL353689.3"
"1081","AL451047.1"
"1082","AL627308.3"
"1083","AL451054.4"
"1084","AL731702.1"
"1085","AL136379.1"
"1086","AL353593.1"
"1087","AL353593.2"
